"","t2"
"1",93
"2",93
"3",92
"4",72
"5",75
"6",63
"7",51
"8",34
"9",28
"10",20
"11",15
"12",8
"13",5
"14",2
"15",0
"16",0
"17",0
"18",0
"19",0
"20",90
"21",88
"22",76
"23",57
"24",53
"25",28
"26",13
"27",8
"28",4
"29",1
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",85
"40",85
"41",58
"42",42
"43",25
"44",5
"45",3
"46",1
"47",0
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",88
"59",70
"60",49
"61",20
"62",8
"63",2
"64",1
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
