"","t2"
"1",98
"2",96
"3",90
"4",87
"5",77
"6",68
"7",58
"8",46
"9",38
"10",20
"11",10
"12",8
"13",2
"14",1
"15",1
"16",1
"17",0
"18",0
"19",0
"20",95
"21",86
"22",75
"23",66
"24",44
"25",31
"26",17
"27",7
"28",1
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",89
"40",83
"41",59
"42",47
"43",37
"44",9
"45",6
"46",0
"47",1
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",0
"58",92
"59",75
"60",57
"61",25
"62",12
"63",4
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
