"","t2"
"1",95
"2",97
"3",92
"4",93
"5",91
"6",86
"7",86
"8",88
"9",80
"10",73
"11",68
"12",59
"13",61
"14",48
"15",40
"16",46
"17",27
"18",25
"19",30
"20",96
"21",96
"22",93
"23",85
"24",74
"25",79
"26",70
"27",60
"28",52
"29",35
"30",35
"31",24
"32",15
"33",12
"34",7
"35",2
"36",0
"37",1
"38",0
"39",93
"40",87
"41",89
"42",81
"43",76
"44",64
"45",54
"46",45
"47",31
"48",15
"49",8
"50",5
"51",1
"52",1
"53",0
"54",0
"55",0
"56",0
"57",0
"58",91
"59",94
"60",89
"61",84
"62",76
"63",50
"64",44
"65",27
"66",15
"67",11
"68",8
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
